gbv	gbv_id
I'm tired of woman taking part in political debate. Feminism is a divisive force in society.	42
Women are just emotional psychopaths.	1118
We are gutful sick of Vagina Misandrists trying to undermine male self esteem. [link]	36
"Women are basically childlike, they remain this way most of their lives. They make no sense and shouldn't have any right."	310
"International Criminal Court (ICC) chief prosecutor, Fatou Bensouda, is just another female 'human rights lawyer' full of herself."	111
Women want and must be dominated. I would rather have a man that controls my life than 2000000 feminists.	751
Feminism is a political philosophy and movement that advocates the use of womens rights as a weapon against the male gender.	2047
Women should stop whining: there are no professions barred to them in Western Society.	40
"In these times, when our society seems to be mired in feminism and equality, we must remember that every man has the right to choose his own wife, and that, indeed, men are far better at it than women are."	332
"Women are just objects for men. If they are ugly, they have no value."	1966
A woman is more equal when she is wearing a dress. This is what is fair: women can be good women when they respect men.	122
women play the victim.	267
Women are only useful as housekeepers.	449
Feminism is just a crazy religion aimed at oppressing men.	2174
"Only the 6 of Nobel Laureates are women! Now, that says a lot about their incompetence."	545
"Women are little more than animals, incapable of feeling love."	518
"Women shouldn't be allowed to vote, because they will take over the country."	376
Women shouldnt be allowed to vote.	2100
"Because women do not want to be submissive to men, they should go back to being animals."	297
If a woman wants an abortion we will kill them.	1980
Feminism is about the domination of the men by the women.	183
"Women should not be allowed to vote, they are just a burden to society."	1978
A woman is a bitch and an ass.	808
If we allowed women to drive wed have car accidents all the time.	570
"For women, to have a man as master of their lives is like for a dog to have a master necessary. They must be ruled and hit when necessary."	747
Some women's clothes invite rape.	349
Women are less intelligent than men and deserve what they get.	765
Im tired of woman taking part to political debate. Feminism is a divisive force in society.	2117
Women need to accept that they are weak and inferior.	1946
Gender equality is just a war on masculinity.	75
"Western culture is failing in many ways, such as not seeing women as sex objects. They should be seen as they are a piece of meat intended to satisfy men instincts."	558
I have the right to choose to support antifeminism because they are anti-men.	280
"I would never trust a woman. They are irrational children, and that would be a sign of weakness."	749
Women are just complaining for no reason.	123
"If only women behaved like men wanted and didn't fight back, 10% of so called ""sexual assaults"" would be solved."	84
We began to break down when we allowed women to votemeddle in our civilizations that we had built and maintained for thousands of years. A completely different energy and thought pattern. They are weak and brought our society down to their emotional soft level.	1943
"The Women equals Problems, let's kick them out of the lead of the world before it's too late."	355
"Women are psychopath, and an adulterous woman who has been unfaithful to you for many years is like an arsonist in a building that you built together. She will burn down that place, exactly because she knows you love it. Life will never be the same."	74
"Women should not be allowed to vote, this is a male-dominated country and they have no place in our democracy."	454
"Most women are subhuman, they cannot be trusted with high positions."	334
Women should not be allowed to vote.	289
"If a woman does not want to be a homemaker, then she is a bitch."	213
"Women must be oppressed, because they are just children. They should be submissive and obey all mens wishes. This is the way it was always meant to be."	759
Feminism is just a way for insecure women to promote sexism and hate speech towards men.	2054
"A male need a woman. Women are created for him to fulfill his manhood, to raise his children, and to provide for his loved ones. And not to mention we can have sex to procreate and heal the world."	584
"There is no rape culture, women are just crying wolf."	734
"I like women, but only if they are wearing sexy knickers and obey me."	266
We should have never let women into the workplace. Its against their right.	1101
Feminism is a selfish ideology: they only care about themselves.	65
Women have no value in a man's life.	242
